"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2026","211.74","208.35","212.72","207.45","42.21M","1.96%"
"03/13/2026","207.67","209.60","210.56","206.22","35.66M","-0.89%"
"03/12/2026","209.53","210.39","211.71","208.15","44.35M","-1.47%"
"03/11/2026","212.65","215.71","217.00","211.35","34.20M","-0.78%"
"03/10/2026","214.33","214.19","215.65","212.43","35.68M","0.39%"
"03/09/2026","213.49","210.45","213.82","207.11","54.64M","0.13%"
"03/06/2026","213.21","214.99","217.32","212.53","51.15M","-2.62%"
"03/05/2026","218.94","215.98","220.47","215.59","60.94M","0.98%"
"03/04/2026","216.82","210.47","217.54","210.15","54.73M","3.88%"
"03/03/2026","208.73","203.10","209.18","202.48","43.18M","0.16%"
"03/02/2026","208.39","204.55","209.73","203.46","46.00M","-0.77%"
"02/27/2026","210.00","206.83","210.33","205.20","57.42M","1.00%"
"02/26/2026","207.92","210.73","211.05","205.35","47.76M","-1.29%"
"02/25/2026","210.64","210.46","211.59","208.93","41.35M","1.00%"
"02/24/2026","208.56","205.47","210.36","203.25","41.14M","1.60%"
"02/23/2026","205.27","208.10","208.43","203.11","53.58M","-2.30%"
"02/20/2026","210.11","204.76","211.17","203.75","65.88M","2.56%"
"02/19/2026","204.86","203.80","205.64","202.81","35.67M","0.03%"
"02/18/2026","204.79","202.07","206.86","201.51","51.00M","1.81%"
"02/17/2026","201.15","198.13","201.74","196.00","69.88M","1.19%"
"02/13/2026","198.79","198.88","201.16","197.27","66.32M","-0.41%"
"02/12/2026","199.60","203.96","203.96","197.56","83.98M","-2.20%"
"02/11/2026","204.08","208.06","208.57","202.49","65.55M","-1.39%"
"02/10/2026","206.96","208.79","212.65","206.41","67.18M","-0.84%"
"02/09/2026","208.72","208.97","212.81","203.35","91.18M","-0.76%"
"02/06/2026","210.32","202.70","211.44","200.31","179.21M","-5.55%"
"02/05/2026","222.69","224.91","226.31","220.38","103.51M","-4.42%"
"02/04/2026","232.99","238.86","238.86","231.82","51.30M","-2.36%"
"02/03/2026","238.62","244.98","246.35","235.45","53.83M","-1.79%"
"02/02/2026","242.96","238.31","245.63","238.17","37.55M","1.53%"
"01/30/2026","239.30","239.89","243.32","237.64","46.59M","-1.01%"
"01/29/2026","241.73","242.82","243.00","236.74","47.23M","-0.53%"
"01/28/2026","243.01","246.37","247.77","241.53","40.88M","-0.68%"
"01/27/2026","244.68","239.68","244.88","238.08","38.03M","2.63%"
"01/26/2026","238.42","239.98","240.95","237.54","32.83M","-0.31%"
"01/23/2026","239.16","234.96","240.45","234.57","33.78M","2.06%"
"01/22/2026","234.34","234.04","235.72","230.90","31.91M","1.31%"
"01/21/2026","231.31","231.09","232.30","226.88","47.28M","0.13%"
"01/20/2026","231.00","233.76","235.09","229.34","47.74M","-3.40%"
"01/16/2026","239.12","239.09","239.57","236.41","45.89M","0.39%"
"01/15/2026","238.18","239.31","240.65","236.63","43.00M","0.65%"
"01/14/2026","236.65","241.15","241.28","236.22","41.41M","-2.45%"
"01/13/2026","242.60","246.53","247.66","240.25","38.37M","-1.57%"
"01/12/2026","246.47","246.73","248.94","245.96","35.87M","-0.37%"
"01/09/2026","247.38","244.57","247.86","242.24","34.56M","0.44%"
"01/08/2026","246.29","243.06","246.41","241.88","39.51M","1.96%"
"01/07/2026","241.56","239.61","245.29","239.52","42.24M","0.26%"
"01/06/2026","240.93","232.10","243.18","232.07","53.76M","3.38%"
"01/05/2026","233.06","228.84","234.00","227.18","49.73M","2.90%"
"01/02/2026","226.50","231.34","235.46","224.70","51.46M","-1.87%"
"12/31/2025","230.82","232.90","232.99","230.12","24.38M","-0.74%"
"12/30/2025","232.53","231.21","232.77","230.20","21.91M","0.20%"
"12/29/2025","232.07","231.94","232.60","230.77","19.80M","-0.19%"
"12/26/2025","232.52","232.04","232.99","231.18","15.99M","0.06%"
"12/24/2025","232.38","232.13","232.95","231.33","11.42M","0.10%"
"12/23/2025","232.14","229.05","232.45","228.73","29.23M","1.62%"
"12/22/2025","228.43","228.61","229.48","226.71","32.26M","0.48%"
"12/19/2025","227.35","226.76","229.13","225.58","85.54M","0.26%"
"12/18/2025","226.76","225.71","229.23","224.41","50.27M","2.48%"
"12/17/2025","221.27","224.65","225.19","220.99","44.03M","-0.58%"
"12/16/2025","222.56","223.04","223.66","221.13","39.30M","0.01%"
"12/15/2025","222.54","227.93","227.93","221.50","47.29M","-1.61%"
"12/12/2025","226.19","229.87","230.08","225.12","35.64M","-1.78%"
"12/11/2025","230.28","230.71","232.11","228.69","28.25M","-0.65%"
"12/10/2025","231.78","228.80","232.42","228.46","38.79M","1.69%"
"12/09/2025","227.92","226.84","228.57","225.11","25.84M","0.45%"
"12/08/2025","226.89","229.59","230.83","226.27","35.02M","-1.15%"
"12/05/2025","229.53","230.32","231.24","228.55","33.12M","0.18%"
"12/04/2025","229.11","232.77","233.50","226.80","45.68M","-1.41%"
"12/03/2025","232.38","233.35","233.38","230.61","35.50M","-0.87%"
"12/02/2025","234.42","235.01","238.97","233.55","45.79M","0.23%"
"12/01/2025","233.88","233.22","235.80","232.25","42.90M","0.28%"
"11/28/2025","233.22","231.24","233.29","230.22","20.29M","1.77%"
"11/26/2025","229.16","230.74","231.75","228.77","38.50M","-0.22%"
"11/25/2025","229.67","226.38","230.52","223.80","39.38M","1.50%"
"11/24/2025","226.28","222.55","227.33","222.27","54.32M","2.53%"
"11/21/2025","220.69","216.35","222.21","215.18","68.49M","1.63%"
"11/20/2025","217.14","227.05","227.41","216.74","50.31M","-2.49%"
"11/19/2025","222.69","223.74","223.74","218.52","58.34M","0.06%"
"11/18/2025","222.55","228.10","230.20","222.42","60.61M","-4.43%"
"11/17/2025","232.87","233.25","234.60","229.19","59.92M","-0.78%"
"11/14/2025","234.69","235.06","238.73","232.89","38.96M","-1.22%"
"11/13/2025","237.58","243.05","243.75","236.50","41.40M","-2.71%"
"11/12/2025","244.20","250.24","250.37","243.75","31.19M","-1.97%"
"11/11/2025","249.10","248.41","249.75","247.23","23.56M","0.28%"
"11/10/2025","248.40","248.34","251.75","245.59","36.48M","1.63%"
"11/07/2025","244.41","242.90","244.90","238.49","46.37M","0.56%"
