"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2026","669.03","668.38","672.07","667.12","82.02M","1.02%"
"03/13/2026","662.29","669.27","672.34","661.36","97.20M","-0.57%"
"03/12/2026","666.06","671.16","671.65","665.87","108.88M","-1.52%"
"03/11/2026","676.33","677.58","680.08","673.34","68.44M","-0.13%"
"03/10/2026","677.18","677.72","683.36","674.76","81.51M","-0.16%"
"03/09/2026","678.27","666.39","679.92","662.39","102.67M","0.88%"
"03/06/2026","672.38","673.41","676.11","669.76","100.69M","-1.31%"
"03/05/2026","681.31","682.08","685.53","675.61","106.61M","-0.56%"
"03/04/2026","685.13","681.63","687.09","679.62","79.18M","0.71%"
"03/03/2026","680.33","675.06","682.61","669.66","105.00M","-0.88%"
"03/02/2026","686.38","678.70","688.62","678.02","87.48M","0.06%"
"02/27/2026","685.99","683.09","686.86","681.64","83.31M","-0.48%"
"02/26/2026","689.30","693.28","693.30","684.35","71.67M","-0.56%"
"02/25/2026","693.15","690.18","693.68","690.10","56.37M","0.84%"
"02/24/2026","687.35","681.90","688.35","680.00","73.80M","0.73%"
"02/23/2026","682.39","687.83","690.00","680.37","90.56M","-1.02%"
"02/20/2026","689.43","682.32","690.06","681.73","100.03M","0.72%"
"02/19/2026","684.48","683.84","686.18","681.55","58.65M","-0.26%"
"02/18/2026","686.29","684.02","689.15","682.83","73.57M","0.50%"
"02/17/2026","682.85","680.14","684.94","675.78","81.35M","0.16%"
"02/13/2026","681.75","681.69","686.28","677.52","96.27M","0.07%"
"02/12/2026","681.27","694.24","695.35","680.37","118.83M","-1.54%"
"02/11/2026","691.96","696.39","697.14","689.18","76.35M","-0.02%"
"02/10/2026","692.12","694.95","696.54","691.66","65.19M","-0.26%"
"02/09/2026","693.95","689.42","695.87","688.34","73.89M","0.48%"
"02/06/2026","690.62","681.46","692.31","680.85","89.13M","1.92%"
"02/05/2026","677.62","680.94","683.69","675.79","113.61M","-1.25%"
"02/04/2026","686.19","690.35","691.45","681.76","105.20M","-0.48%"
"02/03/2026","689.53","696.21","696.96","684.03","107.90M","-0.85%"
"02/02/2026","695.41","689.58","696.93","689.58","79.29M","0.50%"
"01/30/2026","691.97","691.79","694.21","687.12","101.84M","-0.30%"
"01/29/2026","694.04","696.39","697.06","684.83","97.49M","-0.20%"
"01/28/2026","695.42","697.05","697.84","693.94","61.17M","-0.01%"
"01/27/2026","695.49","694.18","696.53","693.57","55.51M","0.40%"
"01/26/2026","692.73","690.49","694.13","689.92","60.47M","0.51%"
"01/23/2026","689.23","688.15","690.96","687.16","63.06M","0.04%"
"01/22/2026","688.98","689.85","691.13","686.92","77.11M","0.52%"
"01/21/2026","685.40","679.65","688.73","678.13","127.84M","1.15%"
"01/20/2026","677.58","681.49","684.77","676.57","111.62M","-2.04%"
"01/16/2026","691.66","693.66","694.25","690.10","79.29M","-0.08%"
"01/15/2026","692.24","694.57","695.45","691.25","77.86M","0.27%"
"01/14/2026","690.36","691.00","691.72","686.04","94.68M","-0.49%"
"01/13/2026","693.77","695.49","696.09","691.35","78.31M","-0.20%"
"01/12/2026","695.16","690.68","696.09","690.63","63.98M","0.16%"
"01/09/2026","694.07","690.63","695.31","689.18","80.13M","0.66%"
"01/08/2026","689.51","688.82","690.61","687.49","64.02M","-0.01%"
"01/07/2026","689.58","692.19","693.96","689.32","75.59M","-0.32%"
"01/06/2026","691.81","687.93","692.32","687.78","69.27M","0.59%"
"01/05/2026","687.72","686.54","689.43","686.38","71.93M","0.67%"
"01/02/2026","683.17","685.71","686.87","679.82","89.38M","0.18%"
"12/31/2025","681.92","687.14","687.36","681.71","74.14M","-0.74%"
"12/30/2025","687.01","687.45","688.55","686.58","47.16M","-0.12%"
